code,name_fr,name_ar,menages,population,etrangers,marocains
01.,Oued Ed-Dahab-Lagouira,جهة : وادي الذهب - لكويرة,29385,142955,888,142067
02.,Laayoune-Boujdour-Sakia El Hamra,جهة : العيون - بوجدور - الساقية الحمراء,67140,301744,743,301001
03.,Guelmim Es Semara,جهة : كلميم السمارة,98867,501921,311,501610
04.,Souss-Massa-Draa,جهة : سوس - ماسة - درعة,747476,3601917,5498,3596419
05.,Gharb-Chrarda-Beni-Hssen,جهة : غرب - الشراردة - بني حسين,374753,1904112,2002,1902110
06.,Chaouia-Ouardigha,جهة : الشاوية - ورديغة,388320,1893950,2003,1891947
07.,Marrakech-Tensift-Al-Haouz,جهة : مراكش - تانسيفت - الحوز,738600,3576643,8167,3568476
08.,Oriental,جهة : الشرقية,453864,2097629,3879,2093750
09.,Grand Casablanca,جهة : الدار البيضاء الكبرى,1032576,4270750,28161,4242589
10.,Rabat-Salé-Zemmour-Zaer,جهة : الرباط - سلا - زمور - زعير,640354,2676754,18210,2658544
11.,Doukkala-Abda,جهة : دكالة - عبدة,444154,2183090,1961,2181129
12.,Tadla-Azilal,جهة : تادلة - أزيلال,316475,1607506,729,1606777
13.,Meknes-Tafilalet,جهة : مكناس - تافيلالت,504298,2316865,2066,2314799
14.,Fès-Boulemane,جهة : فاس - بولمان,401627,1808295,3841,1804454
15.,Taza-Al Hoceima-Taounate,جهة : تازة - الحسيمة -  تاونات,356119,1807036,530,1806506
16.,Tanger-Tetouan,جهة : طنجة - تطوان,719798,3157075,7217,3149858
